Wine Category,Producer,Subcategory,Region,Country,Price by Glass,Price by Bottle,Raw Description
,"Samuel Smith, Organic Lager, 5% abv, 12 oz Tadcater England 7",,,,,,
,APPETIZERS,____,,,,"Leche de tigre
                  
                    /
                  
                     tiger’s milk (essence of ceviche)* 23",____
,APPETIZERS,____,,,,"Leche de tigre
                  
                    /
                  
                     tiger’s milk (essence of ceviche)* 23",____
,"Ceviche mixto / blue cod, squid and shrimp ceviche* (gf) 22",,,,,,
,Ceviche pescado / blue cod ceviche* (gf) 21,,,,,,
,"Tiradito de hongo / portobello sashimi nikkei style (v, gf option) 18",,,,,,
,Pastel de choclo /,peruvian corn polenta,cheese + aji (vegetarian or ground sirloin) (v,gf) 16 / 17,,,"peruvian corn polenta, cheese + aji (vegetarian or ground sirloin) (v, gf) 16 / 17"
,"Causa de aguacate y tomate / potato terrine with avocado and tomato (v, gf opt) 16",,,,,,
,Causa de tuna fish / potato terrine with tuna fish salad	(gf option) 16,,,,,,
,Causa de tuna tartare / potato terrine with tuna tartare	(gf option) 18,,,,,,
,"Arugula + watercress salad, lime + black pepper vinaigrette (v, gf) 16",,,,,,
,PLATO FUERTE,____,,,,"arroz con seared duck
                  
                    /
                  
                     cilantro rice, seared duck breast + salsa criolla (g) 37",____
,"patarashca / whole branzino grilled in plantain leaves, amazonic condiments (gf) 39",,,,,,
,"tacu tacu de pallares a lo macho O verduras / lima bean risotto, panca sauce, mussels, shrimp, squid",OR vegetables: mushrooms,"scallions, snow peas",bok choy (veg) 33 / 25,,,"OR vegetables: mushrooms, scallions, snow peas, bok choy (veg) 33 / 25"
,"*pescado con verduras / steamed blue cod, XO peruvian-chinese sauce, aji, bok choy, snow peas, onions, mushroom, peppers (gf option) 28",,,,,,
,"*sudado de berenjena / steamed eggplant chinese-peruvian style (v, gf option) 25",,,,,,
,"*lomo saltado / stir-fried sirloin (8oz), tomato, onion, soy sauce (gf option) 33",,,,,,
,"*tallarin saltado de mariscos O de verduras / peruvian-chinese stir fried noodles, shrimp, squid, mussels (g) OR stir fried noodles with vegetables  (g, v) 33 / 25",,,,,,
,"*CHIFA:  Peruvian-Chinese fusion cuisine developed in the 19th century from the influx of Chinese immigrants brought to Peru as indentured laborers (including Chef JuanMa’s great-great grandfather), using Chinese condiments + Peruvian peppers",,,,,,
,La Royal Sour,hibiscus/pomegranate-macerated pisco,egg white,lime 16,,,"hibiscus/pomegranate-macerated pisco, egg white, lime 16"
,La Royal Sour,hibiscus/pomegranate-macerated pisco,egg white,lime 16,,,"hibiscus/pomegranate-macerated pisco, egg white, lime 16"
,Pisco Sour (spicy upon request),pisco,egg white,lime 16,,,"pisco, egg white, lime 16"
,Maracuyá Sour (spicy upon request),pisco,"passion fruit, egg white, lime",amaretto 16,,,"pisco, passion fruit, egg white, lime, amaretto 16"
,Xandu,Matacuy peruvian herbal elixir,"pisco, campari, angostura",lime	16,,,"Matacuy peruvian herbal elixir, pisco, campari, angostura, lime	16"
,Pisco Martini,horseradish-macerated pisco,dry vermouth,olive 16,,,"horseradish-macerated pisco, dry vermouth, olive 16"
,Margarita Morada,purple corn-macerated mezcal,lime,orange liqueur 16,,,"purple corn-macerated mezcal, lime, orange liqueur 16"
,Lima Capitán,mosto verde pisco,sweet vermouth,chuncho bitters 15,,,"mosto verde pisco, sweet vermouth, chuncho bitters 15"
,Chilcano,pisco barsol,"lime, ginger beer",bitters 15,,,"pisco barsol, lime, ginger beer, bitters 15"
,Mezcal Negroni,mezcal union,"gin’ca gin, campari, sweet vermouth",chuncho bitters 16,,,"mezcal union, gin’ca gin, campari, sweet vermouth, chuncho bitters 16"
,Gin’ca Tonic,gin’ca gin,,boylan heritage tonic 15,,,"gin’ca gin, boylan heritage tonic 15"
,Matacuy Tonic,Matacuy andean herbal elixir,,boylan heritage tonic 16,,,"Matacuy andean herbal elixir, boylan heritage tonic 16"
,Cusco Sunset,Civic Vodka,"Gin’Ca, Luxardo syrup",peach soda 15,,,"Civic Vodka, Gin’Ca, Luxardo syrup, peach soda 15"
,WINE BY THE GLASS,‘21 Finca Arantei,Albarino,Rias Baixas SP	15,,"$‘21 Gaspard, Chenin Blanc, Loire Valley FR	14","‘21 Finca Arantei, Albarino,Rias Baixas SP	15"
,WINE BY THE GLASS,,,,,,
,SPARKLING,,,,,,
,"Vita Vivet Sparkling, Cava Brut nature, Catalonia, SP 14",,,,,,
,WHITE,,,,,,
,"‘22 Passionate Wines, Del Mono Blanco Sauvignon Blanc, AR 13",‘21 Finca Arantei,Albarino,Rias Baixas SP	15,,"$‘21 Gaspard, Chenin Blanc, Loire Valley FR	14","‘21 Finca Arantei, Albarino,Rias Baixas SP	15"
,SKIN CONTACT,,,,,,
,"‘22 Oenogenesis, Mataroa Amber, GR 15",‘22 Basaurresti,Lahu Txokolina Rosato,SP 15,,,"‘22 Basaurresti, Lahu Txokolina Rosato, SP 15"
,RED,,,,,,
,‘19 Pedro Parra 'Pencopolitano' Cinsault/Pais Itata CH 13,‘22 Passionate Wines,"Del Mono Tinto, Malbec",AR 13,,,"‘22 Passionate Wines, Del Mono Tinto, Malbec, AR 13"
,"Cristal lager, 4.6% abv 11.2oz, (peru) 6",Cusqueña lager,4.6% abv 11.2 oz,(peru) 6,,"Pacifico pilsner, 4.4% abv 12oz, (mexico) 6","Cusqueña lager, 4.6% abv 11.2 oz, (peru) 6"
,"Cristal lager, 4.6% abv 11.2oz, (peru) 6",Cusqueña lager,4.6% abv 11.2 oz,(peru) 6,,"Pacifico pilsner, 4.4% abv 12oz, (mexico) 6","Cusqueña lager, 4.6% abv 11.2 oz, (peru) 6"
,"cristal lager, 4.6% abv 11.2oz, (peru)					6",cusqueña lager,4.6% abv 11.2 oz,(peru)				6,,"pacifico pilsner, 4.4% abv 12oz, (mexico)				6","cusqueña lager, 4.6% abv 11.2 oz, (peru)				6"
,"Sierra Andina, Shaman IPA, 8% abv PERU 9",Sierra Andina,Pachacutec Imperial Ale,10.5% abv PERU 9,,"Japas Cervejaria, matsurika, jasmine flowers pilsner, BRASIL 9","Sierra Andina, Pachacutec Imperial Ale, 10.5% abv PERU 9"
,"Lawson’s finest, little sip, ipa 6.2% abv, VT 11",Singlecut,"18 watt ipa, 5.0% abv",NY	9,,"Four Quarters, Phaze, IPA 6.5% abv, 16 oz, VT 11","Singlecut, 18 watt ipa, 5.0% abv, NY	9"
,"Samuel Smith, Organic Lager, 5% abv, 12 oz Tadcater England 7",,,,,,
,APPETIZERS,____,,,,"Leche de tigre
                  
                    /
                  
                     tiger’s milk (essence of ceviche)* 23",____
,APPETIZERS,____,,,,"Leche de tigre
                  
                    /
                  
                     tiger’s milk (essence of ceviche)* 23",____
,"Ceviche mixto / blue cod, squid and shrimp ceviche* (gf) 22",,,,,,
,Ceviche pescado / blue cod ceviche* (gf) 21,,,,,,
,"Tiradito de hongo / portobello sashimi nikkei style (v, gf option) 18",,,,,,
,Pastel de choclo /,peruvian corn polenta,cheese + aji (vegetarian or ground sirloin) (v,gf) 16 / 17,,,"peruvian corn polenta, cheese + aji (vegetarian or ground sirloin) (v, gf) 16 / 17"
,"Causa de aguacate y tomate / potato terrine with avocado and tomato (v, gf opt) 16",,,,,,
,Causa de tuna fish / potato terrine with tuna fish salad	(gf option) 16,,,,,,
,Causa de tuna tartare / potato terrine with tuna tartare	(gf option) 18,,,,,,
,"Arugula + watercress salad, lime + black pepper vinaigrette (v, gf) 16",,,,,,
,PLATO FUERTE,____,,,,"arroz con seared duck
                  
                    /
                  
                     cilantro rice, seared duck breast + salsa criolla (g) 37",____
,"patarashca / whole branzino grilled in plantain leaves, amazonic condiments (gf) 39",,,,,,
,"tacu tacu de pallares a lo macho O verduras / lima bean risotto, panca sauce, mussels, shrimp, squid",OR vegetables: mushrooms,"scallions, snow peas",bok choy (veg) 33 / 25,,,"OR vegetables: mushrooms, scallions, snow peas, bok choy (veg) 33 / 25"
,"*pescado con verduras / steamed blue cod, XO peruvian-chinese sauce, aji, bok choy, snow peas, onions, mushroom, peppers (gf option) 28",,,,,,
,"*sudado de berenjena / steamed eggplant chinese-peruvian style (v, gf option) 25",,,,,,
,"*lomo saltado / stir-fried sirloin (8oz), tomato, onion, soy sauce (gf option) 33",,,,,,
